"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
28,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",28,"Ambohimiadana",NA,"Fokontany","Commune"
29,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",29,"Andohariana",NA,"Fokontany","Commune"
30,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",30,"Andramasina",NA,"Fokontany","Commune"
31,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",31,"Anosibe Trimoloharano",NA,"Fokontany","Commune"
32,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",32,"Fitsinjovana Bakaro",NA,"Fokontany","Commune"
33,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",33,"Mandrosoa",NA,"Fokontany","Commune"
34,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",34,"Sabotsy Ambohitromby",NA,"Fokontany","Commune"
35,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",35,"Sabotsy Manjakavahoaka",NA,"Fokontany","Commune"
36,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",36,"Tankafatra",NA,"Fokontany","Commune"
37,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",37,"Alakamisy",NA,"Fokontany","Commune"
38,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",38,"Ambatomanoina",NA,"Fokontany","Commune"
39,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",39,"Amboasary",NA,"Fokontany","Commune"
40,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",40,"Ambohibary",NA,"Fokontany","Commune"
41,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",41,"Ambohimanarina Marovazaha",NA,"Fokontany","Commune"
42,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",42,"Ambohimirary",NA,"Fokontany","Commune"
43,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",43,"Ambongamarina",NA,"Fokontany","Commune"
44,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",44,"Amparatanjona Ambony",NA,"Fokontany","Commune"
45,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",45,"Analaroa",NA,"Fokontany","Commune"
46,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",46,"Anjozorobe",NA,"Fokontany","Commune"
47,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",47,"Antanetibe",NA,"Fokontany","Commune"
48,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",48,"Beronono",NA,"Fokontany","Commune"
49,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",49,"Betatao Poste",NA,"Fokontany","Commune"
50,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",50,"Mangamila",NA,"Fokontany","Commune"
51,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",51,"Marotsipoy",NA,"Fokontany","Commune"
52,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",3,"Anjozorobe",52,"Tsarasaotra",NA,"Fokontany","Commune"
53,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",53,"Ambohitromby",NA,"Fokontany","Commune"
54,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",54,"Ambolotarakely",NA,"Fokontany","Commune"
55,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",55,"Andranomiady",NA,"Fokontany","Commune"
56,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",56,"Ankazobe",NA,"Fokontany","Commune"
57,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",57,"Antotohazo",NA,"Fokontany","Commune"
58,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",58,"Fiadanana",NA,"Fokontany","Commune"
59,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",59,"Fihaonana",NA,"Fokontany","Commune"
60,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",60,"Kiangara",NA,"Fokontany","Commune"
61,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",61,"Mahavelona",NA,"Fokontany","Commune"
62,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",62,"Marondry",NA,"Fokontany","Commune"
63,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",63,"Miantso",NA,"Fokontany","Commune"
64,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",64,"Talata Angavo",NA,"Fokontany","Commune"
65,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",4,"Ankazobe",65,"Tsaramasoandro",NA,"Fokontany","Commune"
66,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",66,"Alasora",NA,"Fokontany","Commune"
67,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",67,"Ambohimalaza",NA,"Fokontany","Commune"
68,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",68,"Ambohimanambola",NA,"Fokontany","Commune"
69,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",69,"Ambohimangakely",NA,"Fokontany","Commune"
70,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",70,"Ambohimanga",NA,"Fokontany","Commune"
71,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",71,"Anjeva",NA,"Fokontany","Commune"
72,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",72,"Ankadinandriana",NA,"Fokontany","Commune"
73,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",73,"Fieferana",NA,"Fokontany","Commune"
74,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",74,"Ilafy",NA,"Fokontany","Commune"
75,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",75,"Masindray",NA,"Fokontany","Commune"
76,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",76,"Sabotsy Namehana",NA,"Fokontany","Commune"
77,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",5,"Antananarivo-Nord",77,"Talata Volonondry",NA,"Fokontany","Commune"
78,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",78,"Alatsinainy Ambazaha",NA,"Fokontany","Commune"
79,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",79,"Ambalavao",NA,"Fokontany","Commune"
80,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",80,"Ambatofahavalo",NA,"Fokontany","Commune"
81,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",81,"Ambavahaditokana",NA,"Fokontany","Commune"
82,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",82,"Ambohidrapeto",NA,"Fokontany","Commune"
83,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",83,"Ambohijanaka",NA,"Fokontany","Commune"
84,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",84,"Ampanefy",NA,"Fokontany","Commune"
85,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",85,"Ampitatafika",NA,"Fokontany","Commune"
86,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",86,"Andoharanofotsy",NA,"Fokontany","Commune"
87,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",87,"Andranonahoatra",NA,"Fokontany","Commune"
88,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",88,"Androhibe",NA,"Fokontany","Commune"
89,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",89,"Ankadimanga",NA,"Fokontany","Commune"
90,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",90,"Ankaraobato",NA,"Fokontany","Commune"
91,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",91,"Anosizato Andrefana",NA,"Fokontany","Commune"
92,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",92,"Antanetikely",NA,"Fokontany","Commune"
93,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",93,"Bemasoandro",NA,"Fokontany","Commune"
94,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",94,"Bongatsara",NA,"Fokontany","Commune"
95,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",95,"Fenoarivo",NA,"Fokontany","Commune"
96,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",96,"Fiombonana",NA,"Fokontany","Commune"
97,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",97,"Itaosy",NA,"Fokontany","Commune"
98,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",98,"Soalandy",NA,"Fokontany","Commune"
99,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",99,"Soavina",NA,"Fokontany","Commune"
100,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",100,"Tanjombato",NA,"Fokontany","Commune"
101,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",6,"Antananarivo-Sud",101,"Tsiafahy",NA,"Fokontany","Commune"
102,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",7,"Antananarivo renivohitra",102,"Antananarivo",NA,"Fokontany","Commune"
103,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",103,"Alarobia",NA,"Fokontany","Commune"
104,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",104,"Ambanitsena",NA,"Fokontany","Commune"
105,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",105,"Ambatolaona",NA,"Fokontany","Commune"
106,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",106,"Ambatomanga",NA,"Fokontany","Commune"
107,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",107,"Ambatomena",NA,"Fokontany","Commune"
108,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",108,"Ambohibary",NA,"Fokontany","Commune"
109,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",109,"Ambohitrandriamanitra",NA,"Fokontany","Commune"
110,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",110,"Ambohitrolomahitsy",NA,"Fokontany","Commune"
111,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",111,"Ambohitseheno",NA,"Fokontany","Commune"
112,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",112,"Ampaneva",NA,"Fokontany","Commune"
113,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",113,"Anjepy",NA,"Fokontany","Commune"
114,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",114,"Anjoma Betoho",NA,"Fokontany","Commune"
115,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",115,"Ankazondandy",NA,"Fokontany","Commune"
116,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",116,"Antsahalalina",NA,"Fokontany","Commune"
117,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",117,"Carion",NA,"Fokontany","Commune"
118,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",118,"Manjakandriana",NA,"Fokontany","Commune"
119,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",119,"Mantasoa",NA,"Fokontany","Commune"
120,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",120,"Merikanjaka",NA,"Fokontany","Commune"
121,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",121,"Miadanandriana",NA,"Fokontany","Commune"
122,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",122,"Ranovao",NA,"Fokontany","Commune"
123,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",123,"Sadabe",NA,"Fokontany","Commune"
124,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",124,"Sambaina",NA,"Fokontany","Commune"
125,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",8,"Manjakandriana",125,"Soavinandriana",NA,"Fokontany","Commune"
126,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",126,"Ambatomainty",NA,"Fokontany","Commune"
127,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",127,"Ambohitromby",NA,"Fokontany","Commune"
128,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",128,"Fenoarivobe",NA,"Fokontany","Commune"
129,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",129,"Firavahana",NA,"Fokontany","Commune"
130,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",130,"Kiranomena",NA,"Fokontany","Commune"
131,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",131,"Mahajeby",NA,"Fokontany","Commune"
132,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",132,"Maritampona",NA,"Fokontany","Commune"
133,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",9,"Fenoarivo-Centre",133,"Tsinjoarivo",NA,"Fokontany","Commune"
134,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",134,"Ambalanirana",NA,"Fokontany","Commune"
135,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",135,"Ambatolampy",NA,"Fokontany","Commune"
136,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",136,"Ankadinondry Sakay",NA,"Fokontany","Commune"
137,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",137,"Ankerana Avaratra",NA,"Fokontany","Commune"
138,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",138,"Anosy",NA,"Fokontany","Commune"
139,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",139,"Belobaka",NA,"Fokontany","Commune"
140,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",140,"Bemahatazana",NA,"Fokontany","Commune"
141,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",141,"Bevato",NA,"Fokontany","Commune"
142,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",142,"Fierenana",NA,"Fokontany","Commune"
143,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",143,"Mahasolo",NA,"Fokontany","Commune"
144,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",144,"Maritampona",NA,"Fokontany","Commune"
145,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",145,"Maroharona",NA,"Fokontany","Commune"
146,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",146,"Miandrarivo",NA,"Fokontany","Commune"
147,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",147,"Soanierana",NA,"Fokontany","Commune"
148,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",148,"Tsinjoarivo",NA,"Fokontany","Commune"
149,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",149,"Tsiroanomandidy Fihaonana",NA,"Fokontany","Commune"
150,134,"MDG","Madagascar",1,"Antananarivo",2,"Bongolava",10,"Tsiroanomandidy",150,"Tsiroanomandidy Ville",NA,"Fokontany","Commune"
151,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",151,"Alakamisikely Ambohidehibe",NA,"Fokontany","Commune"
152,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",152,"Ambatomanga",NA,"Fokontany","Commune"
153,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",153,"Ambatomirahavavy",NA,"Fokontany","Commune"
154,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",154,"Amboanana",NA,"Fokontany","Commune"
155,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",155,"Ambohimandry Est",NA,"Fokontany","Commune"
156,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",156,"Ambohimasina",NA,"Fokontany","Commune"
157,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",157,"Ambohipandrano",NA,"Fokontany","Commune"
158,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",158,"Ambohitrambo",NA,"Fokontany","Commune"
159,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",159,"Ampahimanga",NA,"Fokontany","Commune"
160,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",160,"Analamiandrandra",NA,"Fokontany","Commune"
161,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",161,"Andranomiely",NA,"Fokontany","Commune"
162,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",162,"Antambolo",NA,"Fokontany","Commune"
163,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",163,"Antenimbe",NA,"Fokontany","Commune"
164,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",164,"Arivonimamo II",NA,"Fokontany","Commune"
165,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",165,"Arivonimamo I",NA,"Fokontany","Commune"
166,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",166,"Imerintsiatosika",NA,"Fokontany","Commune"
167,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",167,"Mahatsinjo Est",NA,"Fokontany","Commune"
168,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",168,"Manalalondo",NA,"Fokontany","Commune"
169,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",169,"Marofangady",NA,"Fokontany","Commune"
170,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",170,"Miantsoarivo",NA,"Fokontany","Commune"
171,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",171,"Morafeno",NA,"Fokontany","Commune"
172,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",11,"Arivonimamo",172,"Morarano",NA,"Fokontany","Commune"
173,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",173,"Ambatomanjaka",NA,"Fokontany","Commune"
174,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",174,"Analavory",NA,"Fokontany","Commune"
175,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",175,"Andolofotsy",NA,"Fokontany","Commune"
176,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",176,"Anosibe Ifanja",NA,"Fokontany","Commune"
177,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",177,"Manazary",NA,"Fokontany","Commune"
178,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",178,"Mandiavato",NA,"Fokontany","Commune"
179,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",179,"Miarinarivo Sub-urbaine",NA,"Fokontany","Commune"
180,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",180,"Miarinarivo Urbaine",NA,"Fokontany","Commune"
181,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",181,"Sarobaratra",NA,"Fokontany","Commune"
182,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",182,"Soamahamanina",NA,"Fokontany","Commune"
183,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",183,"Soavimbazaha",NA,"Fokontany","Commune"
184,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",12,"Miarinarivo",184,"Zoma Bealoka",NA,"Fokontany","Commune"
185,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",13,"Soavinandriana",185,"Ambatoasana Afovoany",NA,"Fokontany","Commune"
186,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",13,"Soavinandriana",186,"Amberomanga Antsinanana",NA,"Fokontany","Commune"
187,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",13,"Soavinandriana",187,"Amparaky",NA,"Fokontany","Commune"
188,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",13,"Soavinandriana",188,"Ampary",NA,"Fokontany","Commune"
189,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",13,"Soavinandriana",189,"Ampefy",NA,"Fokontany","Commune"
190,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",13,"Soavinandriana",190,"Ankaranana",NA,"Fokontany","Commune"
191,134,"MDG","Madagascar",1,"Antananarivo",3,"Itasy",13,"Soavinandriana",191,"Ankisabe",NA,"Fokontany","Commune"
